Var1,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10
gamma,16.271,17.101,16.703,16.953,16.2,15.968,16.745,16.708,16.555,16.333
real_In_exist_to_end,50,46,37,45,40,42,45,39,50,54
real_Rn_gamma,0.0991897752426221,0.248722346480357,0.144559929036044,0.0886517538462756,0.094551998708025,0.080279577768039,0.068961435894626,0.387177833141837,0.083604409793057,0.0803203306161017
Z0_gamma,385039,330972,355378,335511,392313,409130,351658,354731,364818,381229
hat_lambda_0,-0.2001718237427,-0.199304519754532,-0.199793950802479,-0.20024099741737,-0.199893850704016,-0.200169552732072,-0.199921245720368,-0.19984322577296,-0.199996482808096,-0.200020824560022
hat_lambda_1,0.679645194963709,2.0262318805702,0.757308662456575,0.481222682747622,0.437590121657285,0.369399229287706,0.295243182616703,2.71430717635175,0.537058625284385,0.56862545681119
hat_r_1,9.41137557638438,4.30475268313457e-09,3.14712961814881,104.225955353821,291.059082761615,670.595500990941,1158.17008103352,2.04589032081622e-13,53.4090037103799,36.7845888954318
hat_alpha,0.694036599355246,2.10016084761585,0.787510605053928,0.529943527375715,0.467746703938899,0.400881267888216,0.350333724796746,2.74728894413645,0.570544954986245,0.592531784177282
boot_Rn,0.122620094120666,0.26483755623201,0.165534848182459,0.106558422766893,0.110011738588873,0.0937029018750271,0.0863821087858183,0.406064426213168,0.0938742897435735,0.0946298826989245
boot_lam1,0.917149190121847,2.12461137401267,0.914163910342349,0.646391996871366,0.564757715172114,0.469944612836622,0.459387086967557,2.861683673071,0.624937829900366,0.709725634806414
boot_alp,0.918967161202975,2.20185599015447,0.94064217067589,0.690203839387966,0.584275599802921,0.490404259516041,0.503099182504414,2.89699838261177,0.6538177660058,0.725057003056753
boot_r1,0.338296035369936,8.95390725811453e-10,0.321917672014328,10.5755650603323,57.4213697880122,206.333407162126,153.607719935668,1.93142971682471e-14,16.5622787795069,5.52360351672981
